Table 1
Global and Hemispheric Mean Aerosol Optical Depth at 550 nm,,,,,
year,/mon , global ,N.Hemis ,S.Hemis,
1962,0.625,0.0160,0.0108,0.0212,
1962,0.708,0.0147,0.0100,0.0195,
1962,0.792,0.0143,0.0107,0.0179,
1962,0.875,0.0134,0.0103,0.0165,
1962,0.958,0.0125,0.0098,0.0152,
1963,0.042,0.0122,0.0103,0.0140,
1963,0.125,0.0119,0.0110,0.0129,
1963,0.208,0.0123,0.0128,0.0119,
1963,0.292,0.0173,0.0128,0.0217,
1963,0.375,0.0338,0.0156,0.0520,
1963,0.458,0.0470,0.0169,0.0771,
1963,0.542,0.0516,0.0204,0.0827,
1963,0.625,0.0562,0.0252,0.0872,
1963,0.708,0.0605,0.0263,0.0946,
1963,0.792,0.0754,0.0306,0.1202,
1963,0.875,0.0885,0.0365,0.1406,
1963,0.958,0.0849,0.0379,0.1319,
1964,0.042,0.0798,0.0381,0.1215,
1964,0.125,0.0746,0.0373,0.1118,
1964,0.208,0.0696,0.0363,0.1029,
1964,0.292,0.0668,0.0380,0.0955,
1964,0.375,0.0667,0.0393,0.0941,
1964,0.458,0.0700,0.0407,0.0994,
1964,0.542,0.0798,0.0432,0.1165,
1964,0.625,0.0797,0.0424,0.1170,
1964,0.708,0.0743,0.0409,0.1076,
1964,0.792,0.0695,0.0400,0.0990,
1964,0.875,0.0662,0.0407,0.0916,
1964,0.958,0.0633,0.0416,0.0851,
1965,0.042,0.0600,0.0412,0.0789,
1965,0.125,0.0567,0.0407,0.0726,
1965,0.208,0.0531,0.0393,0.0668,
1965,0.292,0.0493,0.0372,0.0615,
1965,0.375,0.0466,0.0366,0.0566,
1965,0.458,0.0435,0.0349,0.0522,
1965,0.542,0.0406,0.0331,0.0480,
1965,0.625,0.0374,0.0307,0.0442,
1965,0.708,0.0347,0.0287,0.0407,
1965,0.792,0.0325,0.0275,0.0374,
1965,0.875,0.0312,0.0270,0.0354,
1965,0.958,0.0326,0.0276,0.0376,
1966,0.042,0.0327,0.0298,0.0356,
1966,0.125,0.0307,0.0283,0.0330,
1966,0.208,0.0288,0.0269,0.0306,
1966,0.292,0.0269,0.0254,0.0284,
1966,0.375,0.0252,0.0240,0.0264,
1966,0.458,0.0236,0.0226,0.0245,
1966,0.542,0.0220,0.0213,0.0228,
1966,0.625,0.0206,0.0199,0.0212,
1966,0.708,0.0191,0.0186,0.0196,
1966,0.792,0.0177,0.0173,0.0182,
1966,0.875,0.0164,0.0160,0.0168,
1966,0.958,0.0151,0.0148,0.0154,
1967,0.042,0.0139,0.0136,0.0142,
1967,0.125,0.0128,0.0125,0.0131,
1967,0.208,0.0118,0.0115,0.0120,
1967,0.292,0.0108,0.0106,0.0111,
1967,0.375,0.0112,0.0113,0.0112,
1967,0.458,0.0126,0.0130,0.0123,
1967,0.542,0.0142,0.0147,0.0137,
1967,0.625,0.0159,0.0164,0.0154,
1967,0.708,0.0176,0.0182,0.0170,
1967,0.792,0.0192,0.0199,0.0186,
1967,0.875,0.0177,0.0183,0.0171,
1967,0.958,0.0163,0.0169,0.0157,
1968,0.042,0.0150,0.0155,0.0145,
1968,0.125,0.0138,0.0143,0.0134,
1968,0.208,0.0127,0.0131,0.0123,
1968,0.292,0.0117,0.0121,0.0113,
1968,0.375,0.0142,0.0147,0.0137,
1968,0.458,0.0209,0.0216,0.0202,
1968,0.542,0.0276,0.0285,0.0266,
1968,0.625,0.0342,0.0354,0.0330,
1968,0.708,0.0409,0.0423,0.0395,
1968,0.792,0.0475,0.0491,0.0459,
1968,0.875,0.0459,0.0475,0.0444,
1968,0.958,0.0445,0.0460,0.0429,
1969,0.042,0.0429,0.0443,0.0414,
1969,0.125,0.0414,0.0428,0.0400,
1969,0.208,0.0398,0.0411,0.0384,
1969,0.292,0.0383,0.0396,0.0370,
1969,0.375,0.0367,0.0380,0.0354,
1969,0.458,0.0351,0.0363,0.0339,
1969,0.542,0.0336,0.0348,0.0325,
1969,0.625,0.0320,0.0331,0.0310,
1969,0.708,0.0306,0.0316,0.0295,
1969,0.792,0.0290,0.0299,0.0280,
1969,0.875,0.0275,0.0284,0.0265,
1969,0.958,0.0259,0.0268,0.0250,
1970,0.042,0.0243,0.0251,0.0235,
1970,0.125,0.0228,0.0236,0.0220,
1970,0.208,0.0212,0.0220,0.0205,
1970,0.292,0.0197,0.0204,0.0191,
1970,0.375,0.0182,0.0188,0.0176,
1970,0.458,0.0167,0.0173,0.0161,
1970,0.542,0.0154,0.0159,0.0149,
1970,0.625,0.0142,0.0147,0.0137,
1970,0.708,0.0130,0.0135,0.0126,
1970,0.792,0.0120,0.0124,0.0116,
1970,0.875,0.0111,0.0114,0.0107,
1970,0.958,0.0102,0.0105,0.0098,
1971,0.042,0.0094,0.0097,0.0091,
1971,0.125,0.0086,0.0089,0.0083,
1971,0.208,0.0079,0.0082,0.0077,
1971,0.292,0.0073,0.0076,0.0071,
1971,0.375,0.0067,0.0070,0.0065,
1971,0.458,0.0062,0.0064,0.0060,
1971,0.542,0.0057,0.0059,0.0055,
1971,0.625,0.0053,0.0055,0.0051,
1971,0.708,0.0058,0.0058,0.0058,
1971,0.792,0.0054,0.0054,0.0054,
1971,0.875,0.0049,0.0049,0.0049,
1971,0.958,0.0046,0.0046,0.0046,
1972,0.042,0.0042,0.0042,0.0042,
1972,0.125,0.0039,0.0039,0.0039,
1972,0.208,0.0036,0.0036,0.0036,
1972,0.292,0.0033,0.0033,0.0033,
1972,0.375,0.0030,0.0030,0.0030,
1972,0.458,0.0030,0.0030,0.0030,
1972,0.542,0.0034,0.0034,0.0034,
1972,0.625,0.0038,0.0038,0.0038,
1972,0.708,0.0042,0.0042,0.0042,
1972,0.792,0.0045,0.0045,0.0045,
1972,0.875,0.0049,0.0049,0.0049,
1972,0.958,0.0053,0.0053,0.0053,
1973,0.042,0.0057,0.0057,0.0057,
1973,0.125,0.0061,0.0061,0.0061,
1973,0.208,0.0065,0.0065,0.0065,
1973,0.292,0.0068,0.0068,0.0068,
1973,0.375,0.0072,0.0072,0.0072,
1973,0.458,0.0076,0.0076,0.0076,
1973,0.542,0.0080,0.0080,0.0080,
1973,0.625,0.0084,0.0084,0.0084,
1973,0.708,0.0087,0.0087,0.0087,
1973,0.792,0.0091,0.0091,0.0091,
1973,0.875,0.0095,0.0095,0.0095,
1973,0.958,0.0099,0.0099,0.0099,
1974,0.042,0.0103,0.0103,0.0103,
1974,0.125,0.0107,0.0107,0.0107,
1974,0.208,0.0110,0.0110,0.0110,
1974,0.292,0.0114,0.0114,0.0114,
1974,0.375,0.0118,0.0118,0.0118,
1974,0.458,0.0122,0.0122,0.0122,
1974,0.542,0.0126,0.0126,0.0126,
1974,0.625,0.0130,0.0130,0.0130,
1974,0.708,0.0133,0.0133,0.0133,
1974,0.792,0.0137,0.0137,0.0137,
1974,0.875,0.0141,0.0141,0.0141,
1974,0.958,0.0184,0.0184,0.0184,
1975,0.042,0.0228,0.0228,0.0228,
1975,0.125,0.0271,0.0271,0.0271,
1975,0.208,0.0314,0.0314,0.0314,
1975,0.292,0.0358,0.0358,0.0358,
1975,0.375,0.0401,0.0401,0.0401,
1975,0.458,0.0369,0.0369,0.0369,
1975,0.542,0.0340,0.0340,0.0340,
1975,0.625,0.0313,0.0313,0.0313,
1975,0.708,0.0288,0.0288,0.0288,
1975,0.792,0.0265,0.0265,0.0265,
1975,0.875,0.0244,0.0244,0.0244,
1975,0.958,0.0224,0.0224,0.0224,
1976,0.042,0.0206,0.0206,0.0206,
1976,0.125,0.0190,0.0190,0.0190,
1976,0.208,0.0175,0.0175,0.0175,
1976,0.292,0.0161,0.0161,0.0161,
1976,0.375,0.0148,0.0148,0.0148,
1976,0.458,0.0136,0.0136,0.0136,
1976,0.542,0.0126,0.0126,0.0126,
1976,0.625,0.0116,0.0116,0.0116,
1976,0.708,0.0106,0.0106,0.0106,
1976,0.792,0.0098,0.0098,0.0098,
1976,0.875,0.0090,0.0090,0.0090,
1976,0.958,0.0083,0.0083,0.0083,
1977,0.042,0.0077,0.0077,0.0077,
1977,0.125,0.0071,0.0071,0.0071,
1977,0.208,0.0065,0.0065,0.0065,
1977,0.292,0.0060,0.0060,0.0060,
1977,0.375,0.0055,0.0055,0.0055,
1977,0.458,0.0051,0.0051,0.0051,
1977,0.542,0.0047,0.0047,0.0047,
1977,0.625,0.0043,0.0043,0.0043,
1977,0.708,0.0040,0.0040,0.0040,
1977,0.792,0.0037,0.0037,0.0037,
1977,0.875,0.0034,0.0034,0.0034,
1977,0.958,0.0031,0.0031,0.0031,
1978,0.042,0.0029,0.0029,0.0029,
1978,0.125,0.0027,0.0027,0.0027,
1978,0.208,0.0025,0.0025,0.0025,
1978,0.292,0.0029,0.0029,0.0029,
1978,0.375,0.0048,0.0048,0.0048,
1978,0.458,0.0066,0.0066,0.0066,
1978,0.542,0.0084,0.0084,0.0084,
1978,0.625,0.0103,0.0103,0.0103,
1978,0.708,0.0121,0.0121,0.0121,
1978,0.792,0.0123,0.0123,0.0123,
1978,0.875,0.0124,0.0124,0.0124,
1978,0.958,0.0126,0.0126,0.0126,
1979,0.042,0.0128,0.0128,0.0128,
1979,0.125,0.0129,0.0129,0.0129,
1979,0.208,0.0119,0.0119,0.0119,
1979,0.292,0.0109,0.0109,0.0109,
1979,0.375,0.0101,0.0101,0.0101,
1979,0.458,0.0093,0.0093,0.0093,
1979,0.542,0.0085,0.0085,0.0085,
1979,0.625,0.0079,0.0079,0.0079,
1979,0.708,0.0072,0.0072,0.0072,
1979,0.792,0.0067,0.0067,0.0067,
1979,0.875,0.0061,0.0061,0.0061,
1979,0.958,0.0057,0.0057,0.0057,
1980,0.042,0.0052,0.0052,0.0052,
1980,0.125,0.0048,0.0048,0.0048,
1980,0.208,0.0044,0.0044,0.0044,
1980,0.292,0.0041,0.0041,0.0041,
1980,0.375,0.0038,0.0038,0.0038,
1980,0.458,0.0039,0.0043,0.0035,
1980,0.542,0.0044,0.0056,0.0032,
1980,0.625,0.0049,0.0066,0.0032,
1980,0.708,0.0051,0.0069,0.0033,
1980,0.792,0.0052,0.0069,0.0035,
1980,0.875,0.0054,0.0066,0.0042,
1980,0.958,0.0052,0.0062,0.0042,
1981,0.042,0.0051,0.0060,0.0043,
1981,0.125,0.0049,0.0056,0.0043,
1981,0.208,0.0047,0.0052,0.0043,
1981,0.292,0.0045,0.0048,0.0043,
1981,0.375,0.0044,0.0044,0.0043,
1981,0.458,0.0049,0.0053,0.0045,
1981,0.542,0.0055,0.0062,0.0049,
1981,0.625,0.0055,0.0058,0.0052,
1981,0.708,0.0051,0.0054,0.0049,
1981,0.792,0.0051,0.0055,0.0047,
1981,0.875,0.0051,0.0056,0.0047,
1981,0.958,0.0051,0.0056,0.0047,
1982,0.042,0.0057,0.0062,0.0052,
1982,0.125,0.0057,0.0062,0.0052,
1982,0.208,0.0057,0.0062,0.0052,
1982,0.292,0.0245,0.0438,0.0051,
1982,0.375,0.0427,0.0800,0.0054,
1982,0.458,0.0534,0.0954,0.0114,
1982,0.542,0.0681,0.1118,0.0245,
1982,0.625,0.0741,0.1157,0.0325,
1982,0.708,0.0782,0.1174,0.0390,
1982,0.792,0.0843,0.1214,0.0472,
1982,0.875,0.0901,0.1255,0.0548,
1982,0.958,0.0978,0.1338,0.0618,
1983,0.042,0.0960,0.1304,0.0615,
1983,0.125,0.0939,0.1270,0.0607,
1983,0.208,0.0959,0.1329,0.0590,
1983,0.292,0.0912,0.1247,0.0577,
1983,0.375,0.0863,0.1165,0.0561,
1983,0.458,0.0794,0.1072,0.0516,
1983,0.542,0.0731,0.0987,0.0475,
1983,0.625,0.0673,0.0908,0.0437,
1983,0.708,0.0619,0.0835,0.0403,
1983,0.792,0.0569,0.0769,0.0370,
1983,0.875,0.0524,0.0707,0.0341,
1983,0.958,0.0486,0.0651,0.0322,
1984,0.042,0.0451,0.0599,0.0303,
1984,0.125,0.0416,0.0551,0.0281,
1984,0.208,0.0383,0.0507,0.0258,
1984,0.292,0.0352,0.0467,0.0238,
1984,0.375,0.0324,0.0429,0.0219,
1984,0.458,0.0302,0.0395,0.0208,
1984,0.542,0.0282,0.0363,0.0200,
1984,0.625,0.0260,0.0335,0.0184,
1984,0.708,0.0239,0.0308,0.0170,
1984,0.792,0.0220,0.0283,0.0156,
1984,0.875,0.0202,0.0261,0.0144,
1984,0.958,0.0188,0.0240,0.0136,
1985,0.042,0.0164,0.0178,0.0150,
1985,0.125,0.0160,0.0175,0.0144,
1985,0.208,0.0141,0.0146,0.0135,
1985,0.292,0.0138,0.0141,0.0135,
1985,0.375,0.0128,0.0128,0.0129,
1985,0.458,0.0126,0.0118,0.0133,
1985,0.542,0.0121,0.0109,0.0133,
1985,0.625,0.0116,0.0108,0.0124,
1985,0.708,0.0102,0.0107,0.0098,
1985,0.792,0.0101,0.0106,0.0095,
1985,0.875,0.0097,0.0106,0.0089,
1985,0.958,0.0122,0.0139,0.0104,
1986,0.042,0.0146,0.0176,0.0115,
1986,0.125,0.0158,0.0203,0.0112,
1986,0.208,0.0144,0.0164,0.0124,
1986,0.292,0.0147,0.0171,0.0122,
1986,0.375,0.0140,0.0157,0.0124,
1986,0.458,0.0130,0.0136,0.0124,
1986,0.542,0.0128,0.0116,0.0141,
1986,0.625,0.0140,0.0113,0.0168,
1986,0.708,0.0126,0.0126,0.0127,
1986,0.792,0.0126,0.0133,0.0118,
1986,0.875,0.0123,0.0133,0.0113,
1986,0.958,0.0120,0.0135,0.0104,
1987,0.042,0.0118,0.0146,0.0090,
1987,0.125,0.0111,0.0136,0.0086,
1987,0.208,0.0109,0.0124,0.0093,
1987,0.292,0.0104,0.0116,0.0092,
1987,0.375,0.0101,0.0114,0.0088,
1987,0.458,0.0105,0.0106,0.0104,
1987,0.542,0.0108,0.0095,0.0120,
1987,0.625,0.0108,0.0094,0.0122,
1987,0.708,0.0104,0.0100,0.0108,
1987,0.792,0.0094,0.0097,0.0090,
1987,0.875,0.0089,0.0097,0.0082,
1987,0.958,0.0089,0.0093,0.0085,
1988,0.042,0.0085,0.0092,0.0079,
1988,0.125,0.0088,0.0099,0.0077,
1988,0.208,0.0078,0.0079,0.0077,
1988,0.292,0.0074,0.0074,0.0074,
1988,0.375,0.0071,0.0067,0.0074,
1988,0.458,0.0071,0.0059,0.0083,
1988,0.542,0.0080,0.0054,0.0105,
1988,0.625,0.0096,0.0056,0.0135,
1988,0.708,0.0069,0.0062,0.0077,
1988,0.792,0.0065,0.0060,0.0071,
1988,0.875,0.0068,0.0062,0.0073,
1988,0.958,0.0068,0.0064,0.0073,
1989,0.042,0.0072,0.0077,0.0067,
1989,0.125,0.0064,0.0063,0.0064,
1989,0.208,0.0062,0.0057,0.0067,
1989,0.292,0.0060,0.0058,0.0062,
1989,0.375,0.0047,0.0051,0.0043,
1989,0.458,0.0057,0.0051,0.0063,
1989,0.542,0.0067,0.0048,0.0086,
1989,0.625,0.0083,0.0045,0.0120,
1989,0.708,0.0062,0.0049,0.0074,
1989,0.792,0.0054,0.0050,0.0058,
1989,0.875,0.0055,0.0053,0.0056,
1989,0.958,0.0054,0.0053,0.0054,
1990,0.042,0.0059,0.0069,0.0049,
1990,0.125,0.0074,0.0096,0.0053,
1990,0.208,0.0062,0.0053,0.0071,
1990,0.292,0.0044,0.0039,0.0049,
1990,0.375,0.0044,0.0048,0.0039,
1990,0.458,0.0060,0.0047,0.0072,
1990,0.542,0.0073,0.0047,0.0099,
1990,0.625,0.0074,0.0049,0.0100,
1990,0.708,0.0068,0.0051,0.0084,
1990,0.792,0.0058,0.0052,0.0064,
1990,0.875,0.0060,0.0054,0.0065,
1990,0.958,0.0060,0.0055,0.0064,
1991,0.042,0.0060,0.0059,0.0060,
1991,0.125,0.0057,0.0055,0.0058,
1991,0.208,0.0055,0.0049,0.0062,
1991,0.292,0.0053,0.0048,0.0057,
1991,0.375,0.0053,0.0046,0.0061,
1991,0.458,0.0179,0.0205,0.0153,
1991,0.542,0.0377,0.0402,0.0353,
1991,0.625,0.0710,0.0668,0.0751,
1991,0.708,0.0964,0.0958,0.0970,
1991,0.792,0.1197,0.1187,0.1208,
1991,0.875,0.1380,0.1281,0.1480,
1991,0.958,0.1385,0.1468,0.1301,
1992,0.042,0.1483,0.1627,0.1338,
1992,0.125,0.1494,0.1691,0.1298,
1992,0.208,0.1428,0.1585,0.1270,
1992,0.292,0.1386,0.1456,0.1317,
1992,0.375,0.1379,0.1424,0.1333,
1992,0.458,0.1265,0.1199,0.1332,
1992,0.542,0.1228,0.1155,0.1300,
1992,0.625,0.1141,0.1068,0.1214,
1992,0.708,0.1044,0.1021,0.1068,
1992,0.792,0.0978,0.0975,0.0982,
1992,0.875,0.0918,0.0914,0.0921,
1992,0.958,0.0793,0.0823,0.0763,
1993,0.042,0.0743,0.0780,0.0705,
1993,0.125,0.0661,0.0688,0.0634,
1993,0.208,0.0608,0.0619,0.0596,
1993,0.292,0.0559,0.0562,0.0556,
1993,0.375,0.0525,0.0495,0.0554,
1993,0.458,0.0482,0.0426,0.0537,
1993,0.542,0.0445,0.0365,0.0525,
1993,0.625,0.0425,0.0356,0.0495,
1993,0.708,0.0394,0.0341,0.0447,
1993,0.792,0.0376,0.0324,0.0428,
1993,0.875,0.0350,0.0308,0.0393,
1993,0.958,0.0312,0.0294,0.0330,
1994,0.042,0.0285,0.0279,0.0291,
1994,0.125,0.0265,0.0262,0.0268,
1994,0.208,0.0238,0.0235,0.0240,
1994,0.292,0.0218,0.0219,0.0216,
1994,0.375,0.0205,0.0193,0.0217,
1994,0.458,0.0185,0.0165,0.0205,
1994,0.542,0.0179,0.0151,0.0208,
1994,0.625,0.0173,0.0153,0.0192,
1994,0.708,0.0161,0.0144,0.0178,
1994,0.792,0.0166,0.0147,0.0184,
1994,0.875,0.0159,0.0149,0.0169,
1994,0.958,0.0160,0.0160,0.0159,
1995,0.042,0.0120,0.0113,0.0127,
1995,0.125,0.0117,0.0112,0.0122,
1995,0.208,0.0109,0.0108,0.0111,
1995,0.292,0.0100,0.0099,0.0101,
1995,0.375,0.0100,0.0091,0.0108,
1995,0.458,0.0093,0.0083,0.0103,
1995,0.542,0.0094,0.0077,0.0112,
1995,0.625,0.0087,0.0071,0.0104,
1995,0.708,0.0085,0.0065,0.0104,
1995,0.792,0.0088,0.0069,0.0107,
1995,0.875,0.0086,0.0075,0.0097,
1995,0.958,0.0077,0.0072,0.0082,
1996,0.042,0.0074,0.0073,0.0075,
1996,0.125,0.0072,0.0071,0.0073,
1996,0.208,0.0068,0.0071,0.0065,
1996,0.292,0.0063,0.0069,0.0057,
1996,0.375,0.0067,0.0063,0.0070,
1996,0.458,0.0060,0.0059,0.0062,
1996,0.542,0.0066,0.0056,0.0076,
1996,0.625,0.0062,0.0054,0.0071,
1996,0.708,0.0059,0.0049,0.0070,
1996,0.792,0.0064,0.0054,0.0073,
1996,0.875,0.0064,0.0058,0.0071,
1996,0.958,0.0061,0.0056,0.0065,
1997,0.042,0.0060,0.0061,0.0059,
1997,0.125,0.0057,0.0056,0.0058,
1997,0.208,0.0053,0.0054,0.0052,
1997,0.292,0.0052,0.0055,0.0049,
1997,0.375,0.0055,0.0049,0.0061,
1997,0.458,0.0050,0.0044,0.0055,
1997,0.542,0.0054,0.0046,0.0062,
1997,0.625,0.0051,0.0048,0.0054,
1997,0.708,0.0053,0.0041,0.0065,
1997,0.792,0.0051,0.0045,0.0057,
1997,0.875,0.0047,0.0042,0.0052,
1997,0.958,0.0043,0.0038,0.0048,
1998,0.042,0.0040,0.0035,0.0044,
1998,0.125,0.0037,0.0032,0.0041,
1998,0.208,0.0034,0.0030,0.0038,
1998,0.292,0.0031,0.0028,0.0035,
1998,0.375,0.0029,0.0026,0.0032,
1998,0.458,0.0027,0.0024,0.0030,
1998,0.542,0.0025,0.0023,0.0028,
1998,0.625,0.0024,0.0022,0.0026,
1998,0.708,0.0023,0.0021,0.0025,
1998,0.792,0.0022,0.0021,0.0024,
1998,0.875,0.0022,0.0021,0.0023,
1998,0.958,0.0022,0.0021,0.0023,
1999,0.042,0.0022,0.0021,0.0023,
1999,0.125,0.0022,0.0021,0.0022,
1999,0.208,0.0021,0.0021,0.0022,
1999,0.292,0.0021,0.0021,0.0022,
1999,0.375,0.0021,0.0021,0.0022,
1999,0.458,0.0021,0.0021,0.0022,
1999,0.542,0.0021,0.0021,0.0022,
1999,0.625,0.0021,0.0021,0.0022,
1999,0.708,0.0021,0.0021,0.0022,
1999,0.792,0.0021,0.0021,0.0022,
1999,0.875,0.0021,0.0021,0.0022,
1999,0.958,0.0021,0.0021,0.0022,
2000,0.042,0.0021,0.0021,0.0022,
2000,0.125,0.0021,0.0021,0.0022,
2000,0.208,0.0021,0.0021,0.0022,
2000,0.292,0.0021,0.0021,0.0022,
2000,0.375,0.0021,0.0021,0.0022,
2000,0.458,0.0021,0.0021,0.0022,
2000,0.542,0.0021,0.0021,0.0022,
2000,0.625,0.0021,0.0021,0.0022,
2000,0.708,0.0021,0.0021,0.0022,
2000,0.792,0.0021,0.0021,0.0022,
2000,0.875,0.0021,0.0021,0.0022,
2000,0.958,0.0021,0.0021,0.0022,
2001,0.042,0.0021,0.0021,0.0022,
2001,0.125,0.0021,0.0021,0.0022,
2001,0.208,0.0021,0.0021,0.0022,
2001,0.292,0.0021,0.0021,0.0022,
2001,0.375,0.0021,0.0021,0.0022,
2001,0.458,0.0021,0.0021,0.0022,
2001,0.542,0.0021,0.0021,0.0022,
2001,0.625,0.0021,0.0021,0.0022,
2001,0.708,0.0021,0.0021,0.0022,
2001,0.792,0.0021,0.0021,0.0022,
2001,0.875,0.0021,0.0021,0.0022,
2001,0.958,0.0022,0.0021,0.0023,
2002,0.042,0.0021,0.0020,0.0022,
2002,0.125,0.0021,0.0020,0.0022,
2002,0.208,0.0020,0.0019,0.0021,
2002,0.292,0.0020,0.0019,0.0022,
2002,0.375,0.0019,0.0016,0.0022,
2002,0.458,0.0019,0.0015,0.0023,
2002,0.542,0.0016,0.0009,0.0023,
2002,0.625,0.0021,0.0019,0.0024,
2002,0.708,0.0022,0.0019,0.0024,
2002,0.792,0.0022,0.0021,0.0024,
2002,0.875,0.0024,0.0023,0.0025,
2002,0.958,0.0026,0.0026,0.0026,
2003,0.042,0.0028,0.0029,0.0026,
2003,0.125,0.0028,0.0028,0.0029,
2003,0.208,0.0026,0.0026,0.0027,
2003,0.292,0.0026,0.0026,0.0027,
2003,0.375,0.0025,0.0023,0.0027,
2003,0.458,0.0025,0.0022,0.0027,
2003,0.542,0.0026,0.0024,0.0028,
2003,0.625,0.0028,0.0028,0.0028,
2003,0.708,0.0029,0.0030,0.0029,
2003,0.792,0.0028,0.0029,0.0028,
2003,0.875,0.0028,0.0029,0.0028,
2003,0.958,0.0027,0.0027,0.0027,
2004,0.042,0.0025,0.0025,0.0026,
2004,0.125,0.0024,0.0023,0.0024,
2004,0.208,0.0024,0.0023,0.0025,
2004,0.292,0.0024,0.0023,0.0025,
2004,0.375,0.0022,0.0021,0.0024,
2004,0.458,0.0022,0.0020,0.0025,
2004,0.542,0.0023,0.0021,0.0025,
2004,0.625,0.0025,0.0023,0.0027,
2004,0.708,0.0025,0.0023,0.0027,
2004,0.792,0.0025,0.0024,0.0026,
2004,0.875,0.0025,0.0025,0.0026,
2004,0.958,0.0027,0.0026,0.0027,
2005,0.042,0.0029,0.0029,0.0029,
2005,0.125,0.0031,0.0031,0.0030,
2005,0.208,0.0034,0.0034,0.0033,
2005,0.292,0.0035,0.0036,0.0033,
2005,0.375,0.0034,0.0034,0.0033,
2005,0.458,0.0033,0.0032,0.0033,
2005,0.542,0.0033,0.0032,0.0035,
2005,0.625,0.0036,0.0035,0.0037,
2005,0.708,0.0037,0.0036,0.0038,
2005,0.792,0.0037,0.0037,0.0037,
2005,0.875,0.0037,0.0038,0.0037,
2005,0.958,0.0036,0.0036,0.0036,
2006,0.042,0.0034,0.0035,0.0033,
2006,0.125,0.0033,0.0033,0.0033,
2006,0.208,0.0032,0.0032,0.0032,
2006,0.292,0.0032,0.0033,0.0032,
2006,0.375,0.0030,0.0030,0.0030,
2006,0.458,0.0033,0.0032,0.0034,
2006,0.542,0.0038,0.0039,0.0037,
2006,0.625,0.0041,0.0043,0.0040,
2006,0.708,0.0043,0.0045,0.0042,
2006,0.792,0.0044,0.0047,0.0041,
2006,0.875,0.0049,0.0052,0.0047,
2006,0.958,0.0054,0.0054,0.0054,
2007,0.042,0.0054,0.0052,0.0055,
2007,0.125,0.0051,0.0050,0.0051,
2007,0.208,0.0045,0.0047,0.0044,
2007,0.292,0.0045,0.0047,0.0043,
2007,0.375,0.0041,0.0041,0.0040,
2007,0.458,0.0040,0.0040,0.0040,
2007,0.542,0.0040,0.0040,0.0041,
2007,0.625,0.0041,0.0040,0.0042,
2007,0.708,0.0042,0.0040,0.0044,
2007,0.792,0.0041,0.0041,0.0041,
2007,0.875,0.0042,0.0043,0.0040,
2007,0.958,0.0040,0.0040,0.0039,
2008,0.042,0.0038,0.0038,0.0037,
2008,0.125,0.0036,0.0035,0.0036,
2008,0.208,0.0034,0.0034,0.0033,
2008,0.292,0.0033,0.0034,0.0032,
2008,0.375,0.0031,0.0032,0.0031,
2008,0.458,0.0031,0.0031,0.0032,
2008,0.542,0.0033,0.0032,0.0034,
2008,0.625,0.0036,0.0036,0.0036,
2008,0.708,0.0043,0.0048,0.0037,
2008,0.792,0.0046,0.0056,0.0035,
2008,0.875,0.0048,0.0059,0.0037,
2008,0.958,0.0046,0.0055,0.0038,
2009,0.042,0.0042,0.0047,0.0036,
2009,0.125,0.0039,0.0041,0.0037,
2009,0.208,0.0040,0.0039,0.0040,
2009,0.292,0.0038,0.0038,0.0038,
2009,0.375,0.0036,0.0037,0.0036,
2009,0.458,0.0036,0.0037,0.0035,
2009,0.542,0.0051,0.0067,0.0036,
2009,0.625,0.0062,0.0085,0.0038,
2009,0.708,0.0062,0.0082,0.0041,
2009,0.792,0.0056,0.0072,0.0039,
2009,0.875,0.0053,0.0065,0.0040,
2009,0.958,0.0046,0.0054,0.0038,
2010,0.042,0.0041,0.0045,0.0036,
2010,0.125,0.0037,0.0039,0.0035,
2010,0.208,0.0033,0.0037,0.0029,
2010,0.292,0.0034,0.0037,0.0030,
2010,0.375,0.0032,0.0035,0.0029,
2010,0.458,0.0032,0.0035,0.0030,
2010,0.542,0.0033,0.0035,0.0031,
2010,0.625,0.0035,0.0036,0.0033,
2010,0.708,0.0035,0.0036,0.0035,
2010,0.792,0.0034,0.0035,0.0033,
2010,0.875,0.0037,0.0036,0.0037,
2010,0.958,0.0045,0.0040,0.0050,
2011,0.042,0.0044,0.0039,0.0050,
2011,0.125,0.0041,0.0036,0.0047,
2011,0.208,0.0037,0.0035,0.0040,
2011,0.292,0.0035,0.0033,0.0037,
2011,0.375,0.0034,0.0032,0.0036,
2011,0.458,0.0034,0.0032,0.0036,
2011,0.542,0.0052,0.0067,0.0037,
2011,0.625,0.0068,0.0096,0.0040,
2011,0.708,0.0067,0.0090,0.0043,
2011,0.792,0.0064,0.0085,0.0043,
2011,0.875,0.0060,0.0077,0.0043,
2011,0.958,0.0055,0.0067,0.0043,
2012,0.042,0.0048,0.0056,0.0041,
2012,0.125,0.0040,0.0044,0.0036,
2012,0.208,0.0038,0.0042,0.0034,
2012,0.292,0.0038,0.0043,0.0034,
2012,0.375,0.0035,0.0037,0.0033,
2012,0.458,0.0034,0.0035,0.0033,
2012,0.542,0.0034,0.0034,0.0034,
2012,0.625,0.0034,0.0034,0.0034,
2012,0.708,0.0035,0.0034,0.0036,
